#id,path,type
@id,path,type
10104,zpk/map/[1]tilemap/[4]bairimen/,jpg
10109,zpk/map/[1]tilemap/[9]shabake/,jpg
10112,zpk/map/[1]tilemap/[12]huanggong/,jpg
10137,zpk/map/[1]tilemap/[37]chongdong/,pvr
10139,zpk/map/[1]tilemap/[39]zhudong/,pvr
10141,zpk/map/[1]tilemap/[41]chiyuexiagu/,pvr
10101,zpk/map/[1]tilemap/[1]xinshoucun/,jpg
10102,zpk/map/[1]tilemap/[2]biqicheng/,jpg
10103,zpk/map/[1]tilemap/[3]womasenlin/,jpg
10107,zpk/map/[1]tilemap/[7]dusheshangu/,jpg
10108,zpk/map/[1]tilemap/[8]mengzhong/,jpg
10201,zpk/map/[1]tilemap/[101]yijiaotushenmiao/,jpg
10204,zpk/map/[1]tilemap/[104]luanshengwangzishendian/,jpg
10205,zpk/map/[1]tilemap/[105]heiyingmiku/,jpg
10199,zpk/map/[1]tilemap/[99]tile/,pvr
10131,zpk/map/[1]tilemap/[31]kuludong/,pvr
10138,zpk/map/[1]tilemap/[38]kuangdong/,pvr
10045,zpk/map/[1]tilemap/[201]zhenmota/,jpg
10061,zpk/map/[1]tilemap/[217]bingdao/,jpg
10062,zpk/map/[1]tilemap/[218]mogong/,jpg
10135,zpk/map/[1]tilemap/[35]womasimiao/,pvr
9998,zpk/map/[1]tilemap/[154]chulongleitai/,jpg
9999,zpk/map/[1]tilemap/[155]huanggongqiandian/,jpg
10105,zpk/map/[1]tilemap/[5]fengmogu/,jpg
10110,zpk/map/[1]tilemap/[10]mengmasenlin/,jpg
10143,zpk/map/[1]tilemap/[43]hongmodian/,pvr
10145,zpk/map/[1]tilemap/[45]zumasimiao/,pvr